TxtConta;TxtPapel;TxtLado;TxtPrecoMedio;;CsvConta;CsvPapel;CsvLado;CsvPrecoMedio
ACC09;MGLU3;1;13.98;;ACC09;MGLU3;1;13.98
ACC09;MGLU3;2;15.97;;ACC09;MGLU3;2;15.97
ACC05;ABEV3;1;15.11;;ACC05;ABEV3;1;15.11
ACC08;ITUB4;2;15.36;;ACC08;ITUB4;2;15.36
ACC08;ITUB4;1;14.91;;ACC08;ITUB4;1;14.91
ACC05;WEGE3;2;15.06;;ACC05;WEGE3;2;15.06
ACC10;VALE3;1;13.81;;ACC10;VALE3;1;13.81
ACC08;BBAS3;2;14.46;;ACC08;BBAS3;2;14.46
ACC08;BBAS3;1;14.57;;ACC08;BBAS3;1;14.57
ACC10;VALE3;2;15.46;;ACC10;VALE3;2;15.46
ACC05;BBDC4;2;16.06;;ACC05;BBDC4;2;16.06
ACC07;PETR4;2;15.14;;ACC07;PETR4;2;15.14
ACC05;BBDC4;1;15.29;;ACC05;BBDC4;1;15.29
ACC04;LREN3;1;14.58;;ACC04;LREN3;1;14.58
ACC04;LREN3;2;14.14;;ACC04;LREN3;2;14.14
ACC05;WEGE3;1;13.45;;ACC05;WEGE3;1;13.45
ACC07;PETR4;1;15.20;;ACC07;PETR4;1;15.20
ACC06;VALE3;2;13.58;;ACC06;VALE3;2;13.58
ACC06;VALE3;1;15.20;;ACC06;VALE3;1;15.20
ACC02;B3SA3;2;14.98;;ACC02;B3SA3;2;14.98
ACC10;PETR4;1;15.14;;ACC10;PETR4;1;15.14
ACC08;MGLU3;2;13.79;;ACC08;MGLU3;2;13.79
ACC04;ABEV3;1;14.12;;ACC04;ABEV3;1;14.12
ACC08;MGLU3;1;15.30;;ACC08;MGLU3;1;15.30
ACC04;ABEV3;2;15.61;;ACC04;ABEV3;2;15.61
ACC09;ITUB4;1;14.34;;ACC09;ITUB4;1;14.34
ACC09;ITUB4;2;16.28;;ACC09;ITUB4;2;16.28
ACC10;PETR4;2;14.80;;ACC10;PETR4;2;14.80
ACC01;ITUB4;2;14.94;;ACC01;ITUB4;2;14.94
ACC01;ITUB4;1;15.91;;ACC01;ITUB4;1;15.91
ACC01;BBAS3;1;14.73;;ACC01;BBAS3;1;14.73
ACC01;BBAS3;2;14.91;;ACC01;BBAS3;2;14.91
ACC06;WEGE3;1;14.11;;ACC06;WEGE3;1;14.11
ACC06;WEGE3;2;15.13;;ACC06;WEGE3;2;15.13
ACC09;BBAS3;1;15.15;;ACC09;BBAS3;1;15.15
ACC09;BBAS3;2;15.15;;ACC09;BBAS3;2;15.15
ACC06;BBDC4;1;15.62;;ACC06;BBDC4;1;15.62
ACC06;BBDC4;2;15.79;;ACC06;BBDC4;2;15.79
ACC05;LREN3;2;14.61;;ACC05;LREN3;2;14.61
ACC05;LREN3;1;15.70;;ACC05;LREN3;1;15.70
ACC02;B3SA3;1;15.54;;ACC02;B3SA3;1;15.54
ACC06;PETR4;1;15.52;;ACC06;PETR4;1;15.52
ACC06;PETR4;2;13.86;;ACC06;PETR4;2;13.86
ACC09;B3SA3;1;15.58;;ACC09;B3SA3;1;15.58
ACC09;B3SA3;2;13.95;;ACC09;B3SA3;2;13.95
ACC05;VALE3;2;15.31;;ACC05;VALE3;2;15.31
ACC07;MGLU3;1;14.76;;ACC07;MGLU3;1;14.76
ACC03;ABEV3;2;14.04;;ACC03;ABEV3;2;14.04
ACC07;MGLU3;2;14.89;;ACC07;MGLU3;2;14.89
ACC03;ABEV3;1;15.21;;ACC03;ABEV3;1;15.21
ACC05;VALE3;1;16.63;;ACC05;VALE3;1;16.63
ACC02;ITUB4;2;16.40;;ACC02;ITUB4;2;16.40
ACC10;WEGE3;1;15.70;;ACC10;WEGE3;1;15.70
ACC02;ITUB4;1;15.26;;ACC02;ITUB4;1;15.26
ACC10;WEGE3;2;15.22;;ACC10;WEGE3;2;15.22
ACC10;MGLU3;1;15.06;;ACC10;MGLU3;1;15.06
ACC02;BBAS3;2;15.58;;ACC02;BBAS3;2;15.58
ACC02;BBAS3;1;15.62;;ACC02;BBAS3;1;15.62
ACC10;MGLU3;2;13.93;;ACC10;MGLU3;2;13.93
ACC07;WEGE3;1;13.78;;ACC07;WEGE3;1;13.78
ACC07;WEGE3;2;15.13;;ACC07;WEGE3;2;15.13
ACC10;BBDC4;1;14.18;;ACC10;BBDC4;1;14.18
ACC10;BBDC4;2;15.60;;ACC10;BBDC4;2;15.60
ACC06;LREN3;2;15.68;;ACC06;LREN3;2;15.68
ACC07;BBDC4;1;15.27;;ACC07;BBDC4;1;15.27
ACC07;BBDC4;2;14.48;;ACC07;BBDC4;2;14.48
ACC06;LREN3;1;14.84;;ACC06;LREN3;1;14.84
ACC01;B3SA3;1;15.43;;ACC01;B3SA3;1;15.43
ACC01;B3SA3;2;15.61;;ACC01;B3SA3;2;15.61
ACC05;PETR4;1;14.84;;ACC05;PETR4;1;14.84
ACC05;PETR4;2;15.77;;ACC05;PETR4;2;15.77
ACC08;B3SA3;2;14.13;;ACC08;B3SA3;2;14.13
ACC08;B3SA3;1;12.81;;ACC08;B3SA3;1;12.81
ACC06;MGLU3;1;15.52;;ACC06;MGLU3;1;15.52
ACC10;LREN3;2;15.22;;ACC10;LREN3;2;15.22
ACC10;LREN3;1;15.11;;ACC10;LREN3;1;15.11
ACC06;MGLU3;2;14.36;;ACC06;MGLU3;2;14.36
ACC02;ABEV3;1;14.32;;ACC02;ABEV3;1;14.32
ACC02;ABEV3;2;14.38;;ACC02;ABEV3;2;14.38
ACC04;VALE3;2;14.39;;ACC04;VALE3;2;14.39
ACC04;VALE3;1;15.94;;ACC04;VALE3;1;15.94
ACC03;ITUB4;1;15.43;;ACC03;ITUB4;1;15.43
ACC03;ITUB4;2;14.15;;ACC03;ITUB4;2;14.15
ACC03;BBAS3;1;15.40;;ACC03;BBAS3;1;15.40
ACC03;BBAS3;2;16.10;;ACC03;BBAS3;2;16.10
ACC08;WEGE3;1;16.41;;ACC08;WEGE3;1;16.41
ACC08;WEGE3;2;14.02;;ACC08;WEGE3;2;14.02
ACC07;LREN3;2;14.17;;ACC07;LREN3;2;14.17
ACC07;LREN3;1;14.96;;ACC07;LREN3;1;14.96
ACC08;BBDC4;1;15.71;;ACC08;BBDC4;1;15.71
ACC08;BBDC4;2;14.37;;ACC08;BBDC4;2;14.37
ACC04;PETR4;1;15.29;;ACC04;PETR4;1;15.29
ACC04;PETR4;2;15.61;;ACC04;PETR4;2;15.61
ACC07;B3SA3;1;15.82;;ACC07;B3SA3;1;15.82
ACC07;B3SA3;2;14.30;;ACC07;B3SA3;2;14.30
ACC05;MGLU3;1;15.53;;ACC05;MGLU3;1;15.53
ACC09;ABEV3;2;13.97;;ACC09;ABEV3;2;13.97
ACC05;MGLU3;2;13.82;;ACC05;MGLU3;2;13.82
ACC09;ABEV3;1;15.74;;ACC09;ABEV3;1;15.74
ACC03;VALE3;1;15.18;;ACC03;VALE3;1;15.18
ACC01;ABEV3;2;15.66;;ACC01;ABEV3;2;15.66
ACC01;ABEV3;1;15.85;;ACC01;ABEV3;1;15.85
ACC03;VALE3;2;14.73;;ACC03;VALE3;2;14.73
ACC04;ITUB4;2;13.77;;ACC04;ITUB4;2;13.77
ACC04;ITUB4;1;13.23;;ACC04;ITUB4;1;13.23
ACC10;B3SA3;1;14.71;;ACC10;B3SA3;1;14.71
ACC10;B3SA3;2;14.02;;ACC10;B3SA3;2;14.02
ACC09;WEGE3;2;15.95;;ACC09;WEGE3;2;15.95
ACC04;BBAS3;2;13.61;;ACC04;BBAS3;2;13.61
ACC04;BBAS3;1;14.94;;ACC04;BBAS3;1;14.94
ACC09;WEGE3;1;14.17;;ACC09;WEGE3;1;14.17
ACC08;LREN3;1;14.25;;ACC08;LREN3;1;14.25
ACC08;LREN3;2;14.37;;ACC08;LREN3;2;14.37
ACC09;BBDC4;2;15.58;;ACC09;BBDC4;2;15.58
ACC09;BBDC4;1;14.92;;ACC09;BBDC4;1;14.92
ACC01;WEGE3;2;14.20;;ACC01;WEGE3;2;14.20
ACC03;PETR4;1;14.41;;ACC03;PETR4;1;14.41
ACC03;PETR4;2;15.54;;ACC03;PETR4;2;15.54
ACC01;WEGE3;1;14.64;;ACC01;WEGE3;1;14.64
ACC06;B3SA3;2;15.35;;ACC06;B3SA3;2;15.35
ACC04;MGLU3;2;15.65;;ACC04;MGLU3;2;15.65
ACC06;B3SA3;1;14.48;;ACC06;B3SA3;1;14.48
ACC08;ABEV3;1;15.21;;ACC08;ABEV3;1;15.21
ACC04;MGLU3;1;14.80;;ACC04;MGLU3;1;14.80
ACC08;ABEV3;2;15.20;;ACC08;ABEV3;2;15.20
ACC01;BBDC4;2;15.86;;ACC01;BBDC4;2;15.86
ACC02;VALE3;2;14.92;;ACC02;VALE3;2;14.92
ACC02;VALE3;1;15.62;;ACC02;VALE3;1;15.62
ACC01;BBDC4;1;14.67;;ACC01;BBDC4;1;14.67
ACC05;ITUB4;1;14.51;;ACC05;ITUB4;1;14.51
ACC05;ITUB4;2;15.08;;ACC05;ITUB4;2;15.08
ACC05;BBAS3;1;15.74;;ACC05;BBAS3;1;15.74
ACC05;BBAS3;2;14.99;;ACC05;BBAS3;2;14.99
ACC01;LREN3;2;14.72;;ACC01;LREN3;2;14.72
ACC01;LREN3;1;15.37;;ACC01;LREN3;1;15.37
ACC09;LREN3;2;15.08;;ACC09;LREN3;2;15.08
ACC09;LREN3;1;13.29;;ACC09;LREN3;1;13.29
ACC02;WEGE3;1;14.97;;ACC02;WEGE3;1;14.97
ACC02;WEGE3;2;15.11;;ACC02;WEGE3;2;15.11
ACC02;PETR4;1;13.77;;ACC02;PETR4;1;13.77
ACC02;PETR4;2;14.21;;ACC02;PETR4;2;14.21
ACC09;VALE3;1;14.09;;ACC09;VALE3;1;14.09
ACC05;B3SA3;1;13.58;;ACC05;B3SA3;1;13.58
ACC09;VALE3;2;14.98;;ACC09;VALE3;2;14.98
ACC05;B3SA3;2;15.65;;ACC05;B3SA3;2;15.65
ACC03;MGLU3;1;15.72;;ACC03;MGLU3;1;15.72
ACC07;ABEV3;2;15.90;;ACC07;ABEV3;2;15.90
ACC03;MGLU3;2;15.48;;ACC03;MGLU3;2;15.48
ACC07;ABEV3;1;14.78;;ACC07;ABEV3;1;14.78
ACC01;VALE3;1;12.98;;ACC01;VALE3;1;12.98
ACC02;BBDC4;1;14.38;;ACC02;BBDC4;1;14.38
ACC01;VALE3;2;14.41;;ACC01;VALE3;2;14.41
ACC02;BBDC4;2;14.43;;ACC02;BBDC4;2;14.43
ACC06;ITUB4;1;15.89;;ACC06;ITUB4;1;15.89
ACC06;ITUB4;2;14.59;;ACC06;ITUB4;2;14.59
ACC06;BBAS3;2;13.93;;ACC06;BBAS3;2;13.93
ACC06;BBAS3;1;15.42;;ACC06;BBAS3;1;15.42
ACC02;LREN3;1;16.10;;ACC02;LREN3;1;16.10
ACC09;PETR4;1;15.79;;ACC09;PETR4;1;15.79
ACC09;PETR4;2;15.95;;ACC09;PETR4;2;15.95
ACC03;BBDC4;2;15.48;;ACC03;BBDC4;2;15.48
ACC02;LREN3;2;14.79;;ACC02;LREN3;2;14.79
ACC03;WEGE3;1;14.96;;ACC03;WEGE3;1;14.96
ACC01;PETR4;1;14.45;;ACC01;PETR4;1;14.45
ACC01;PETR4;2;15.79;;ACC01;PETR4;2;15.79
ACC03;WEGE3;2;15.33;;ACC03;WEGE3;2;15.33
ACC10;ITUB4;1;15.06;;ACC10;ITUB4;1;15.06
ACC10;ITUB4;2;15.01;;ACC10;ITUB4;2;15.01
